N,Time,Threads
a,,128,0.034000,1,

128,0.019000,2,

128,0.014000,4,

128,0.012000,8,

128,0.014000,16,

256,0.117000,1,

256,0.062000,2,

256,0.038000,4,

256,0.025000,8,

256,0.021000,16,

512,0.453000,1,

512,0.233000,2,

512,0.124000,4,

512,0.071000,8,

512,0.048000,16,

1024,1.801000,1,

1024,0.909000,2,

1024,0.469000,4,

1024,0.253000,8,

1024,0.141000,16,

2048,7.179000,1,

2048,3.607000,2,

2048,1.836000,4,

2048,0.939000,8,

2048,0.500000,16,

4096,28.669000,1,

4096,14.349000,2,

4096,7.260000,4,

4096,3.656000,8,

4096,1.902000,16,

128,0.032000,1,

128,0.023000,2,

128,0.016000,4,

128,0.013000,8,

128,0.013000,16,

256,0.116000,1,

256,0.062000,2,

256,0.037000,4,

256,0.026000,8,

256,0.021000,16,

512,0.452000,1,

512,0.234000,2,

512,0.124000,4,

512,0.071000,8,

512,0.047000,16,

1024,1.799000,1,

1024,0.909000,2,

1024,0.473000,4,

1024,0.248000,8,

1024,0.141000,16,

2048,7.172000,1,

2048,3.601000,2,

2048,1.844000,4,

2048,0.942000,8,

2048,0.500000,16,

4096,28.659000,1,

4096,14.360000,2,

4096,7.255000,4,

4096,3.670000,8,

4096,1.873000,16,

